,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
26,Trial #6,8,2,"style, suit, shirt, jacket, casual, classic, dress, winter, pair, wear, tie, definitely, coat, outfit, number, piece, warm, wardrobe, choice, add, check, fabric, love, blazer, list",,,,
27,Trial #6,8,3,"fragrance, smell, wear, scent, note, body, skin, check, love, shirt, cologne, clean, razor, recommend, compliment, fresh, long, number, spray, hack, grab, apply, wash, masculine, face",,,,
28,Trial #6,8,4,"wear, style, shoe, fit, brand, shirt, old, belt, dress, money, quality, long, small, love, leather, big, high, pants, nice, new, sure, size, outfit, pretty, color",,,,
29,Trial #6,8,5,"wear, shirt, color, jacket, dress, shoe, fit, style, pair, boot, outfit, casual, sweater, black, suit, short, pants, brown, polo, white, sneaker, button, nice, dark, jeans",,,,
30,Trial #6,8,6,"skin, hair, life, body, face, number, woman, help, level, stop, mean, easy, tell, bad, change, friend, sleep, step, product, sure, eye, second, learn, attractive, old",,,,
31,Trial #6,8,7,"fragrance, love, wine, wear, house, cool, new, bottle, different, mean, nice, room, big, brand, pretty, sort, smell, amazing, okay, tell, light, beautiful, stuff, absolutely, question",,,,
32,Trial #6,8,8,"life, new, money, old, help, woman, relationship, goal, love, build, learn, live, change, mean, today, long, respect, focus, personal, hard, channel, value, business, able, decision",,,,
33,Trial #7,9,1,"hair, woman, car, somebody, dude, mean, super, girl, big, amazing, wear, long, date, attractive, love, beard, basically, sexy, style, tell, sure, face, point, different, nice",,,,
34,Trial #7,9,2,"style, suit, shirt, jacket, casual, classic, winter, dress, definitely, tie, pair, wear, coat, warm, number, piece, choice, check, outfit, list, wardrobe, add, scent, recommend, love",,,,
35,Trial #7,9,3,"shirt, body, wear, skin, smell, face, fragrance, razor, hair, long, check, apply, clean, hack, wash, step, number, second, clothing, shave, point, grab, area, sure, underwear",,,,
36,Trial #7,9,4,"wear, style, fit, shoe, dress, shirt, brand, long, old, belt, pants, outfit, quality, color, money, high, sure, suit, big, sneaker, love, small, leather, new, hair",,,,
37,Trial #7,9,5,"wear, shirt, color, jacket, dress, shoe, pair, boot, casual, outfit, style, fit, sweater, black, suit, brown, short, polo, white, pants, nice, dark, sneaker, button, jeans",,,,
38,Trial #7,9,6,"skin, hair, life, body, face, number, woman, help, level, stop, mean, easy, tell, friend, change, bad, product, step, sleep, learn, sure, today, girl, care, second",,,,
39,Trial #7,9,7,"fragrance, smell, wear, love, note, scent, new, beautiful, bottle, different, mean, check, compliment, house, absolutely, fresh, brand, tell, nice, definitely, spray, amazing, pretty, today, citrus",,,,
40,Trial #7,9,8,"life, new, old, money, woman, help, goal, relationship, build, love, respect, learn, focus, long, change, personal, decision, self, value, business, live, today, able, channel, realize",,,,
41,Trial #7,9,9,"love, cool, stuff, wine, brand, nice, bag, pretty, house, big, new, room, light, phone, sort, space, link, wallet, mean, home, small, different, spend, carry, set",,,,
42,Trial #8,10,1,"car, woman, somebody, dude, mean, love, super, big, amazing, wear, girl, hair, date, basically, sexy, tell, attractive, beard, point, old, deal, opinion, kid, sure, nice",,,,
43,Trial #8,10,2,"style, suit, shirt, jacket, classic, casual, dress, winter, tie, definitely, pair, coat, wear, piece, number, warm, choice, outfit, wardrobe, check, list, add, fabric, blazer, recommend",,,,
44,Trial #8,10,3,"shirt, body, wear, skin, fragrance, smell, face, apply, long, razor, wash, clean, check, hack, scent, number, hair, point, second, cologne, eye, oil, grab, step, shoulder",,,,
45,Trial #8,10,4,"wear, fit, style, shoe, shirt, brand, dress, pants, belt, long, outfit, old, money, color, quality, love, big, sneaker, small, leather, suit, high, new, short, nice",,,,
46,Trial #8,10,5,"wear, shirt, color, jacket, dress, boot, pair, style, casual, shoe, outfit, sweater, fit, black, suit, brown, polo, white, dark, short, nice, jeans, sneaker, leather, pants",,,,
47,Trial #8,10,6,"life, skin, hair, face, help, number, woman, body, mean, change, friend, stop, learn, tell, easy, step, money, new, today, bad, girl, second, care, old, product",,,,
48,Trial #8,10,7,"fragrance, smell, wear, love, note, scent, house, beautiful, different, new, bottle, absolutely, mean, check, nice, fresh, brand, compliment, amazing, pretty, definitely, tell, citrus, spray, pick",,,,
49,Trial #8,10,8,"life, woman, new, old, relationship, respect, help, confidence, goal, value, personal, build, love, decision, self, style, sense, focus, long, channel, create, experience, business, emotional, important",,,,
50,Trial #8,10,9,"wine, love, cool, stuff, bag, space, nice, big, new, light, room, pretty, eat, sort, set, week, mean, phone, home, brand, sleep, minute, place, wallet, link",,,,
51,Trial #8,10,10,"hair, testosterone, style, hairstyle, long, level, woman, body, product, high, help, quality, cut, face, sure, easy, natural, low, health, add, texture, shape, increase, old, wear",,,,
52,Trial #9,11,1,"woman, somebody, girl, dude, mean, attractive, big, date, amazing, super, love, wear, hair, beard, sexy, basically, car, tell, number, deal, bad, opinion, point, old, bond",,,,
53,Trial #9,11,2,"style, suit, shirt, jacket, casual, classic, dress, winter, tie, definitely, pair, coat, piece, number, wear, wardrobe, choice, warm, outfit, check, list, blazer, add, fabric, scent",,,,
54,Trial #9,11,3,"shirt, body, skin, wear, fragrance, face, smell, wash, razor, clean, check, hack, apply, long, scent, number, grab, second, hair, point, eye, water, step, oil, sweat",,,,
55,Trial #9,11,4,"wear, style, shoe, fit, dress, shirt, belt, outfit, pants, old, suit, sneaker, color, long, sure, love, big, leather, quality, brand, nice, high, clothing, mean, pair",,,,
56,Trial #9,11,5,"wear, shirt, color, jacket, dress, pair, boot, casual, style, fit, shoe, sweater, outfit, black, brown, suit, short, polo, white, dark, nice, pants, jeans, leather, sneaker",,,,
57,Trial #9,11,6,"hair, skin, life, face, help, number, woman, body, learn, change, stop, friend, mean, easy, step, tell, new, product, today, bad, sure, old, care, routine, important",,,,
58,Trial #9,11,7,"fragrance, smell, wear, love, note, scent, house, different, beautiful, bottle, new, absolutely, check, nice, fresh, mean, compliment, amazing, cool, pretty, spray, definitely, tell, citrus, original",,,,
59,Trial #9,11,8,"life, woman, old, relationship, respect, new, love, help, value, confidence, sense, goal, self, decision, build, personal, focus, style, experience, able, allow, realize, emotional, create, important",,,,
60,Trial #9,11,9,"body, number, space, sleep, tooth, cologne, minute, eat, set, light, place, mattress, love, bed, room, nice, bag, second, morning, super, bedroom, pack, add, home, protein",,,,
61,Trial #9,11,10,"hair, testosterone, body, level, style, woman, hairstyle, long, help, high, product, quality, fat, cut, sure, health, face, low, natural, easy, increase, healthy, basically, add, check",,,,
62,Trial #9,11,11,"brand, money, new, car, pretty, stuff, small, long, sort, wine, mean, spend, wear, love, cool, phone, big, end, different, thank, life, okay, kid, nice, size",,,,
63,Trial #10,12,1,"woman, somebody, girl, attractive, dude, mean, hair, date, big, super, amazing, love, basically, sexy, car, tell, wear, number, beard, old, opinion, nice, deal, bad, sure",,,,
64,Trial #10,12,2,"winter, scent, definitely, cologne, classic, warm, style, check, casual, choice, tie, list, number, coat, recommend, fragrance, note, suit, smooth, crisp, fresh, shirt, combine, piece, excellent",,,,
65,Trial #10,12,3,"skin, face, hair, body, apply, wash, oil, smell, eye, water, shirt, second, fragrance, wear, number, razor, step, clean, shower, grab, minute, dry, long, hack, area",,,,
66,Trial #10,12,4,"wear, shoe, fit, style, pants, shirt, belt, outfit, long, brand, big, dress, love, nice, old, color, sure, sneaker, high, pretty, leather, different, super, short, new",,,,
67,Trial #10,12,5,"wear, shirt, color, jacket, pair, boot, casual, sweater, outfit, shoe, black, dress, brown, fit, style, polo, white, sneaker, short, nice, summer, pants, dark, jeans, suit",,,,
68,Trial #10,12,6,"life, skin, help, hair, number, woman, learn, friend, change, stop, face, body, mean, tell, new, easy, today, step, old, goal, care, build, bad, important, self",,,,
69,Trial #10,12,7,"fragrance, smell, wear, love, note, scent, house, beautiful, different, bottle, new, absolutely, check, compliment, amazing, nice, spray, fresh, mean, pretty, tell, unique, brand, cool, citrus",,,,
70,Trial #10,12,8,"woman, life, old, relationship, confidence, respect, value, sense, self, style, help, personal, emotional, new, build, focus, allow, experience, create, beard, mature, connection, grow, important, decision",,,,
71,Trial #10,12,9,"body, eat, space, sleep, love, room, bed, number, place, fat, set, minute, light, mattress, morning, big, home, bedroom, tooth, calorie, nice, add, protein, meal, weight",,,,
72,Trial #10,12,10,"hair, testosterone, hairstyle, style, long, level, product, body, high, help, cut, woman, easy, face, low, natural, health, sure, increase, quality, healthy, fat, add, texture, type",,,,
73,Trial #10,12,11,"brand, new, money, car, pretty, stuff, mean, wine, long, sort, small, love, spend, big, phone, cool, life, different, wear, okay, thank, kid, end, nice, wallet",,,,
74,Trial #10,12,12,"wear, style, jacket, shirt, dress, suit, color, fit, shoe, clothing, casual, wardrobe, classic, outfit, button, love, pair, piece, check, leather, especially, old, sure, fabric, body",,,,
75,Trial #11,13,1,"woman, girl, somebody, attractive, mean, hair, dude, date, big, wear, beard, super, love, tell, amazing, number, nice, basically, sexy, hand, bond, deal, notice, body, sure",,,,
76,Trial #11,13,2,"winter, scent, definitely, cologne, warm, fragrance, check, classic, list, note, choice, recommend, style, fresh, casual, smooth, crisp, tie, number, combine, weather, excellent, woody, coat, versatile",,,,
77,Trial #11,13,3,"skin, fragrance, face, body, smell, shirt, wear, apply, razor, water, oil, hair, wash, grab, hack, second, long, eye, number, clean, check, shower, eyebrow, sweat, minute",,,,
78,Trial #11,13,4,"wear, shoe, fit, style, shirt, pants, belt, outfit, brand, big, dress, long, love, nice, color, old, sneaker, sure, super, different, high, new, leather, pretty, mean",,,,
79,Trial #11,13,5,"wear, shirt, color, pair, boot, jacket, casual, outfit, sweater, brown, black, dress, shoe, fit, polo, style, white, sneaker, short, nice, pants, summer, suit, light, dark",,,,
80,Trial #11,13,6,"life, skin, help, woman, hair, face, number, body, stop, friend, change, learn, mean, tell, step, easy, new, care, today, important, sure, old, bad, build, confidence",,,,
81,Trial #11,13,7,"fragrance, smell, love, wear, house, different, scent, note, beautiful, new, bottle, nice, mean, absolutely, amazing, pretty, cool, room, tell, spray, brand, big, definitely, compliment, today",,,,
82,Trial #11,13,8,"woman, old, life, relationship, sense, confidence, personal, help, style, beard, value, new, create, emotional, allow, build, mature, experience, respect, self, goal, trait, decision, ability, grow",,,,
83,Trial #11,13,9,"space, body, sleep, number, tooth, minute, eat, place, bed, light, mattress, morning, room, love, home, bedroom, set, add, night, second, nice, apartment, book, sure, pack",,,,
84,Trial #11,13,10,"hair, testosterone, hairstyle, long, style, body, product, level, high, help, cut, face, fat, easy, low, natural, healthy, health, sure, increase, old, shape, add, basically, texture",,,,
85,Trial #11,13,11,"brand, money, new, wine, small, stuff, spend, pretty, long, phone, mean, love, wear, big, sort, car, wallet, cool, thank, life, product, different, end, carry, size",,,,
86,Trial #11,13,12,"wear, style, jacket, shirt, dress, suit, color, fit, shoe, clothing, casual, classic, wardrobe, outfit, pair, button, love, leather, piece, check, especially, old, fabric, sure, collar",,,,
87,Trial #11,13,13,"car, life, live, old, love, money, kid, drive, new, point, okay, learn, today, happen, basically, cool, reason, mean, different, tell, amazing, ask, question, sort, super",,,,
88,Trial #12,14,1,"woman, girl, somebody, attractive, mean, dude, hair, date, big, number, tell, super, wear, love, beard, amazing, basically, sexy, bond, nice, deal, hand, bad, body, point",,,,
89,Trial #12,14,2,"scent, cologne, definitely, tie, warm, check, fragrance, classic, note, list, choice, recommend, smooth, fresh, crisp, suit, number, winter, woody, excellent, masculine, combine, style, highly, dress",,,,
90,Trial #12,14,3,"skin, face, hair, body, apply, oil, wash, water, eye, number, step, second, smell, product, shower, razor, minute, tooth, clean, dry, shirt, grab, wear, bad, help",,,,
91,Trial #12,14,4,"wear, shoe, fit, style, pants, belt, shirt, brand, outfit, long, big, nice, love, dress, new, old, pretty, sneaker, sure, super, different, cool, mean, color, high",,,,
92,Trial #12,14,5,"wear, color, boot, shoe, shirt, pair, dress, casual, short, black, summer, style, brown, sneaker, dark, loafer, blue, suit, polo, light, outfit, white, fit, chino, jeans",,,,
93,Trial #12,14,6,"life, help, skin, hair, number, woman, friend, change, stop, learn, body, face, mean, tell, new, easy, today, step, care, goal, old, build, important, self, focus",,,,
94,Trial #12,14,7,"fragrance, smell, wear, love, note, scent, house, different, beautiful, bottle, new, absolutely, check, compliment, nice, amazing, spray, mean, fresh, pretty, cool, unique, tell, brand, room",,,,
95,Trial #12,14,8,"woman, old, relationship, life, confidence, respect, style, sense, value, help, new, beard, personal, emotional, self, build, experience, create, love, allow, mature, grow, ability, trait, decision",,,,
96,Trial #12,14,9,"body, eat, space, sleep, fat, love, bed, minute, number, mattress, place, big, morning, meal, calorie, room, bedroom, week, protein, home, weight, add, light, night, workout",,,,
97,Trial #12,14,10,"hair, testosterone, hairstyle, style, long, level, body, product, help, high, cut, woman, easy, low, health, face, natural, sure, healthy, increase, quality, add, shape, texture, old",,,,
98,Trial #12,14,11,"brand, new, money, wine, pretty, stuff, phone, mean, spend, small, long, sort, big, car, love, cool, wallet, thank, wear, carry, product, life, end, okay, different",,,,
99,Trial #12,14,12,"wear, style, shirt, dress, jacket, suit, fit, color, clothing, shoe, casual, button, outfit, wardrobe, classic, old, sure, love, check, especially, pair, body, mistake, piece, collar",,,,
100,Trial #12,14,13,"car, life, money, live, love, kid, old, drive, point, okay, new, learn, question, happen, tell, ask, today, different, amazing, reason, month, super, set, basically, mean",,,,
101,Trial #12,14,14,"jacket, wear, shirt, sweater, outfit, color, style, casual, pair, fit, wool, item, pants, piece, nice, white, leather, brown, black, coat, jeans, wardrobe, polo, fall, love",,,,
102,Trial #13,15,1,"woman, girl, somebody, attractive, hair, mean, dude, beard, date, big, super, number, tell, amazing, sexy, wear, basically, nice, love, sure, deal, help, bond, body, hand",,,,
103,Trial #13,15,2,"scent, cologne, fragrance, definitely, note, check, warm, list, fresh, recommend, smooth, crisp, masculine, woody, choice, excellent, classic, clean, base, combine, highly, spicy, winter, sophisticated, wear",,,,
104,Trial #13,15,3,"skin, face, hair, body, apply, oil, wash, eye, smell, water, second, razor, step, shower, number, minute, wear, product, fragrance, grab, shave, bad, dry, clean, area",,,,
105,Trial #13,15,4,"wear, shoe, fit, belt, shirt, pants, brand, style, love, outfit, nice, sneaker, big, dress, super, sure, color, leather, high, black, long, new, pretty, cool, quality",,,,
106,Trial #13,15,5,"wear, boot, shoe, color, pair, shirt, dress, summer, short, casual, style, sneaker, loafer, black, brown, dark, polo, hat, chino, light, outfit, fit, blue, jeans, linen",,,,
107,Trial #13,15,6,"life, hair, skin, help, number, face, learn, friend, stop, change, body, woman, mean, tell, new, step, easy, old, goal, today, confidence, important, care, build, self",,,,
108,Trial #13,15,7,"fragrance, smell, wear, love, note, house, beautiful, different, bottle, new, scent, absolutely, nice, compliment, amazing, cool, spray, check, pretty, mean, room, tell, original, fresh, big",,,,
109,Trial #13,15,8,"smell, sense, mature, scent, apartment, book, love, place, change, young, set, able, fact, old, create, action, mean, realize, generation, lose, different, reinvent, plant, tier, ability",,,,
110,Trial #13,15,9,"body, eat, sleep, number, minute, fat, tooth, meal, space, morning, mattress, place, love, bed, protein, week, food, weight, factor, habit, add, workout, big, link, night",,,,
111,Trial #13,15,10,"woman, testosterone, level, body, help, old, quality, health, relationship, increase, lead, high, long, life, attention, low, healthy, sure, experience, fat, sex, check, reduce, style, mistake",,,,
112,Trial #13,15,11,"money, brand, phone, wine, new, spend, stuff, small, mean, pretty, wallet, car, big, love, sort, carry, life, cheap, cool, wear, different, thank, long, easy, course",,,,
113,Trial #13,15,12,"wear, style, dress, shirt, jacket, suit, color, fit, clothing, shoe, casual, classic, old, wardrobe, outfit, love, check, pair, especially, sure, button, body, mistake, piece, fabric",,,,
114,Trial #13,15,13,"car, life, love, live, old, money, kid, drive, learn, okay, point, happen, new, tell, amazing, reason, today, super, basically, question, different, cool, dude, somebody, month",,,,
115,Trial #13,15,14,"jacket, wear, shirt, color, sweater, outfit, casual, pair, style, fit, brown, black, white, suit, wool, item, pants, piece, leather, nice, jeans, polo, coat, dress, wardrobe",,,,
116,Trial #13,15,15,"hair, style, long, wear, hairstyle, new, short, fit, shirt, product, different, brand, pretty, mean, easy, cut, nice, end, big, fashion, sure, cool, old, okay, length",,,,
